CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43582005,000626    ,000022,222,VA,2024-01-08,
43582079,000618    ,000011,222,VA,2024-01-08,
43582079,000618    ,000011,201,VA,2024-01-08,
43582154,010177    ,      ,653,VA,2024-01-08,2025-03-12
43582079,000618    ,000011,653,VA,2024-01-08,2027-12-31
43580295,000384    ,000077,   ,VA,2024-01-08,
43582154,010177    ,      ,201,VA,2024-01-08,
43582154,010177    ,      ,222,VA,2024-01-08,
43582079,000618    ,000011,643,VA,2024-01-08,2025-01-08
43582079,000618    ,000011,210,VA,2024-01-08,
43582154,010177    ,      ,643,VA,2024-01-08,2025-03-12
43582154,010177    ,      ,210,VA,2024-01-08,2025-03-12
43582154,010177    ,      ,213,VA,2024-01-08,2025-03-12
43571450,010092    ,000011,201,VA,2024-01-08,
43582079,000618    ,000011,213,VA,2024-01-08,
43582154,010177    ,000011,   ,VA,2024-01-08,2025-03-12
43582079,000618    ,000011,   ,VA,2024-01-08,
43571450,010092    ,000011,490,VA,2024-01-08,2025-01-07
43571450,010092    ,000011,653,VA,2024-01-08,2027-12-31
43571450,010092    ,000011,643,VA,2024-01-08,2025-01-08
43571450,010092    ,000011,210,VA,2024-01-08,
43582228,010104    ,000022,222,VA,2024-01-08,
43571450,010092    ,000011,213,VA,2024-01-08,
43571450,010092    ,000011,   ,VA,2024-01-08,
43582228,010104    ,000022,650,VA,2024-01-08,2027-12-31
43582228,010104    ,000022,201,VA,2024-01-08,
43582228,010104    ,000022,490,VA,2024-01-08,2026-02-01
43571227,010092    ,000011,201,VA,2024-01-08,
43571227,010092    ,000011,490,VA,2024-01-08,2026-01-07
43571227,010092    ,000011,653,VA,2024-01-08,2027-12-31
43581485,000373    ,000011,490,VA,2024-01-08,2025-01-07
43582228,010104    ,000022,640,VA,2024-01-08,2025-01-08
43571227,010092    ,000011,643,VA,2024-01-08,2025-01-08
43581485,000373    ,000011,201,VA,2024-01-08,
43582228,010104    ,000022,210,VA,2024-01-08,
43571227,010092    ,000011,210,VA,2024-01-08,
43571227,010092    ,000011,213,VA,2024-01-08,
43581485,000373    ,000011,653,VA,2024-01-08,2027-12-31
43571227,010092    ,000011,   ,VA,2024-01-08,
43581485,000373    ,000011,643,VA,2024-01-08,2025-01-08
43581485,000373    ,000011,210,VA,2024-01-08,
43582302,000552    ,      ,222,VA,2024-01-08,2024-12-30
43571375,010092    ,000011,201,VA,2024-01-08,
43571375,010092    ,000011,490,VA,2024-01-08,2026-01-07
43582228,010104    ,000022,613,VA,2024-01-08,2024-01-08
43582228,010104    ,000022,213,VA,2024-01-08,
43571375,010092    ,000011,653,VA,2024-01-08,2027-12-31
43581485,000373    ,000011,613,VA,2024-01-08,2025-01-08
43582228,010104    ,000022,   ,VA,2024-01-08,
43571375,010092    ,000011,643,VA,2024-01-08,2025-01-08
43571375,010092    ,000011,210,VA,2024-01-08,
43571375,010092    ,000011,213,VA,2024-01-08,
43571375,010092    ,000011,   ,VA,2024-01-08,
43581485,000373    ,000011,213,VA,2024-01-08,
43581485,000373    ,000011,   ,VA,2024-01-08,
43571524,010092    ,000011,201,VA,2024-01-08,
43571524,010092    ,000011,490,VA,2024-01-08,2026-01-07
43571524,010092    ,000011,653,VA,2024-01-08,2027-12-31
43571524,010092    ,000011,643,VA,2024-01-08,2025-01-08
43571524,010092    ,000011,210,VA,2024-01-08,
43571524,010092    ,000011,213,VA,2024-01-08,
43571524,010092    ,000011,   ,VA,2024-01-08,
43571598,010092    ,      ,201,VA,2024-01-08,
43571598,010092    ,      ,490,VA,2024-01-08,2024-07-22
43571598,010092    ,      ,653,VA,2024-01-08,2024-07-22
43571598,010092    ,      ,643,VA,2024-01-08,2024-07-22
43571598,010092    ,      ,210,VA,2024-01-08,2024-07-22
43571598,010092    ,      ,213,VA,2024-01-08,2024-07-22
43571598,010092    ,000011,   ,VA,2024-01-08,2024-07-22
43568997,010207    ,000011,201,VA,2024-01-08,
43568997,010207    ,000011,653,VA,2024-01-08,2027-12-31
43568997,010207    ,000011,643,VA,2024-01-08,2025-01-08
43568997,010207    ,000011,210,VA,2024-01-08,
43568997,010207    ,000011,213,VA,2024-01-08,
43568997,010207    ,000011,   ,VA,2024-01-08,
43582377,000485    ,000011,222,VA,2024-01-08,
43582377,000485    ,000011,201,VA,2024-01-08,
43582451,000278    ,      ,222,VA,2024-01-08,2024-03-05
43582525,000475    ,      ,201,VA,2024-01-08,
43582451,000278    ,      ,201,VA,2024-01-08,2024-03-05
43582451,000278    ,      ,653,VA,2024-01-08,2024-03-04
43582377,000485    ,000011,653,VA,2024-01-08,2028-01-31
43582451,000278    ,      ,643,VA,2024-01-08,2024-03-04
43582600,010154    ,000022,222,VA,2024-01-08,
43582451,000278    ,      ,210,VA,2024-01-08,2024-03-04
43582377,000485    ,000011,643,VA,2024-01-08,2025-01-08
43582377,000485    ,000011,210,VA,2024-01-08,
